team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
8,7,22-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",7,bowl,Kolkata Knight Riders,8,0,,22,,
7,8,25-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",8,bowl,Sunrisers Hyderabad,7,0,,22,,
3,7,29-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",7,bat,Sunrisers Hyderabad,7,1,,8,,
7,3,5-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bowl,Sunrisers Hyderabad,7,0,,35,,
3,2,8-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bat,Royal Challengers Bangalore,3,1,,15,,
10,2,11-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Delhi Capitals,2,0,,97,,
8,7,15-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",7,bowl,Kolkata Knight Riders,8,0,,17,,
2,9,15-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Delhi Capitals,2,1,,51,,
3,10,16-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Rising Pune Supergiants,10,0,,27,,
7,9,17-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Sunrisers Hyderabad,7,0,,5,,
13,3,18-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bowl,Royal Challengers Bangalore,3,0,,21,,
7,2,19-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Sunrisers Hyderabad,7,1,,15,,
5,2,22-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Mumbai Indians,5,0,,14,,
13,9,23-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bowl,Kings XI Punjab,9,0,,26,,
8,3,23-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",3,bowl,Kolkata Knight Riders,8,0,,82,,
5,10,24-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Rising Pune Supergiants,10,0,,3,,
9,7,28-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Sunrisers Hyderabad,7,0,,26,,
10,3,29-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",3,bowl,Rising Pune Supergiants,10,0,,61,,
13,5,29-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bat,Mumbai Indians,5,0,1,,,
7,8,30-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",8,bowl,Sunrisers Hyderabad,7,0,,48,,
3,9,5-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Kings XI Punjab,9,0,,19,,
7,10,6-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Rising Pune Supergiants,10,0,,12,,
2,5,6-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Mumbai Indians,5,0,,146,,
9,8,9-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",8,bowl,Kings XI Punjab,9,0,,14,,
5,9,11-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Kings XI Punjab,9,0,,7,,
2,10,12-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Delhi Capitals,2,1,,7,,
8,5,13-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Mumbai Indians,5,0,,9,,
2,3,14-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",3,bat,Royal Challengers Bangalore,3,1,,10,,
5,10,16-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Rising Pune Supergiants,10,0,,20,,
10,5,21-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",5,bat,Mumbai Indians,5,1,,1,,
4,2,11-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",2,bowl,Rajasthan Royals,4,0,,10,,
3,4,15-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Rajasthan Royals,4,0,,19,,
9,6,15-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,bowl,Kings XI Punjab,9,0,,4,,
8,2,16-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",2,bowl,Kolkata Knight Riders,8,0,,71,,
5,3,17-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",3,bowl,Mumbai Indians,5,0,,46,,
9,7,19-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Kings XI Punjab,9,1,,15,,
6,4,20-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",4,bowl,Chennai Super Kings,6,0,,64,,
7,6,22-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Chennai Super Kings,6,0,,4,,
2,9,23-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Kings XI Punjab,9,0,,4,,
5,7,24-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Sunrisers Hyderabad,7,0,,31,,
7,9,26-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Sunrisers Hyderabad,7,0,,13,,
2,8,27-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",8,bowl,Delhi Capitals,2,0,,55,,
4,7,29-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",7,bat,Sunrisers Hyderabad,7,1,,11,,
6,2,30-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",2,bowl,Chennai Super Kings,6,0,,13,,
3,5,1-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Royal Challengers Bangalore,3,0,,14,,
2,4,2-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bowl,Delhi Capitals,2,0,,4,,
5,8,6-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",8,bowl,Mumbai Indians,5,0,,13,,
7,3,7-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bowl,Sunrisers Hyderabad,7,0,,5,,
4,9,8-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Rajasthan Royals,4,1,,15,,
8,5,9-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Mumbai Indians,5,0,,102,,
9,8,12-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Holkar Cricket Stadium, Indore",9,bowl,Kolkata Knight Riders,8,0,,31,,
5,9,16-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",9,bowl,Mumbai Indians,5,0,,3,,
3,7,17-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",7,bowl,Royal Challengers Bangalore,3,0,,14,,
2,6,18-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",6,bowl,Delhi Capitals,2,0,,34,,
4,3,19-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Rajasthan Royals,4,1,,30,,
2,5,20-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Delhi Capitals,2,1,,11,,
8,4,23-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Eden Gardens, Kolkata",4,bowl,Kolkata Knight Riders,8,0,,25,,
7,8,25-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Sunrisers Hyderabad,7,0,,14,,
5,2,24-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Delhi Capitals,2,0,,37,,
4,9,25-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Kings XI Punjab,9,0,,14,,
8,9,27-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",9,bowl,Kolkata Knight Riders,8,0,,28,,
3,5,28-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Mumbai Indians,5,0,,6,,
2,8,30-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,1,,,
7,3,31-Mar-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bowl,Sunrisers Hyderabad,7,0,,118,,
6,4,31-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",4,bowl,Chennai Super Kings,6,0,,8,,
9,2,1-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,bowl,Kings XI Punjab,9,0,,14,,
5,6,3-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Mumbai Indians,5,0,,37,,
6,9,6-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,22,,
7,5,6-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Mumbai Indians,5,0,,40,,
7,2,14-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Delhi Capitals,2,0,,39,,
9,4,16-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bowl,Kings XI Punjab,9,0,,12,,
2,5,18-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",5,bat,Mumbai Indians,5,1,,40,,
8,3,19-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Royal Challengers Bangalore,3,0,,10,,
3,6,21-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",6,bowl,Royal Challengers Bangalore,3,0,,1,,
3,9,24-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Royal Challengers Bangalore,3,0,,17,,
6,5,26-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Mumbai Indians,5,0,,46,,
2,3,28-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Delhi Capitals,2,1,,16,,
8,5,28-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",5,bowl,Kolkata Knight Riders,8,0,,34,,
7,9,29-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Sunrisers Hyderabad,7,0,,45,,
6,2,1-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",2,bowl,Chennai Super Kings,6,0,,80,,
5,7,2-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,1,,,
5,6,12-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",5,bat,Mumbai Indians,5,1,,,,
