team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
KINGS XI PUNJAB,RAJASTHAN ROYALS,26-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Newlands, Cape Town",Kings XI Punjab,bat,Kings XI Punjab,1,,27,,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,27-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"St George's Park, Port Elizabeth",Mumbai Indians,bat,Mumbai Indians,1,,92,,
KINGS XI PUNJAB,MUMBAI INDIANS,29-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Kings XI Punjab,bat,Kings XI Punjab,1,,3,,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,30-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Rajasthan Royals,bowl,Chennai Super Kings,0,,38,,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,1-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Buffalo Park, East London",Mumbai Indians,bat,Mumbai Indians,1,,9,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,1-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Kingsmead, Durban",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,8,,
CHENNAI SUPER KINGS,DELHI CAPITALS,2-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",Delhi Capitals,bowl,Chennai Super Kings,0,,18,,
CHENNAI SUPER KINGS,DECCAN CHARGERS,4-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Buffalo Park, East London",Chennai Super Kings,bat,Chennai Super Kings,1,,78,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,5-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Kings XI Punjab,bowl,Rajasthan Royals,0,,78,,
DECCAN CHARGERS,MUMBAI INDIANS,6-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Deccan Chargers,bat,Deccan Chargers,1,,19,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,7-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Chennai Super Kings,bat,Chennai Super Kings,1,,12,,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,10-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",Mumbai Indians,bat,Mumbai Indians,1,,16,,
DECCAN CHARGERS,RAJASTHAN ROYALS,11-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Diamond Oval, Kimberley",Deccan Chargers,bat,Deccan Chargers,1,,53,,
DECCAN CHARGERS,DELHI CAPITALS,13-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Deccan Chargers,bowl,Delhi Capitals,0,,12,,
MUMBAI INDIANS,RAJASTHAN ROYALS,14-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Rajasthan Royals,bat,Rajasthan Royals,1,,2,,
DECCAN CHARGERS,KINGS XI PUNJAB,17-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",Deccan Chargers,bowl,Kings XI Punjab,0,,,,
DELHI CAPITALS,RAJASTHAN ROYALS,17-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Mangaung Oval, Bloemfontein",Delhi Capitals,bat,Delhi Capitals,1,,14,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,20-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Chennai Super Kings,bat,Chennai Super Kings,1,,24,,
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,21-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,12,,
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,24-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore,bowl,Deccan Chargers,0,,6,,
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,12-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,bowl,Kolkata Knight Riders,0,,11,,
MUMBAI INDIANS,RAJASTHAN ROYALS,13-Mar-10,2010,09:30 AM GMT / 03:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,4,,
CHENNAI SUPER KINGS,DECCAN CHARGERS,14-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Deccan Chargers,bat,Deccan Chargers,1,,31,,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,16-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings,bat,Chennai Super Kings,1,,55,,
DELHI CAPITALS,MUMBAI INDIANS,17-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Mumbai Indians,0,,98,,
DECCAN CHARGERS,KINGS XI PUNJAB,19-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Kings XI Punjab,bowl,Deccan Chargers,0,,6,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,20-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,bat,Rajasthan Royals,1,,34,,
DECCAN CHARGERS,DELHI CAPITALS,21-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Deccan Chargers,bat,Deccan Chargers,1,,10,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,21-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Kings XI Punjab,0,1,,,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,23-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bowl,Royal Challengers Bangalore,0,,36,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,24-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Rajasthan Royals,0,,31,,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,25-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Delhi Capitals,0,,17,,
