team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,27-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,39,,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,28-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,bat,Rajasthan Royals,1,,17,,
DECCAN CHARGERS,MUMBAI INDIANS,28-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,bowl,Mumbai Indians,0,,41,,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,29-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,40,,
DELHI CAPITALS,RAJASTHAN ROYALS,31-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,67,,
KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,1-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,24,,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,3-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,23,,
MUMBAI INDIANS,DECCAN CHARGERS,3-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,63,,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,4-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,37,,
DECCAN CHARGERS,RAJASTHAN ROYALS,5-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Rajasthan Royals,bat,Rajasthan Royals,1,,2,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,6-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,24,,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,7-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,14,,
RAJASTHAN ROYALS,MUMBAI INDIANS,11-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Mumbai Indians,0,,37,,
DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,12-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Royal Challengers Bangalore,bowl,Deccan Chargers,0,,13,,
MUMBAI INDIANS,DELHI CAPITALS,13-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,39,,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,17-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Mumbai Indians,0,,57,,
DELHI CAPITALS,DECCAN CHARGERS,18-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat,Deccan Chargers,1,,11,,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,21-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,35,,
CHENNAI SUPER KINGS,DECCAN CHARGERS,22-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,1,,38,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,25-Apr-10,2010,03:00 PM GMT / 08:30 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,1,,22,,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,8-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,2,,
KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,11-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,9,,
DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,14-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bowl,Deccan Chargers,0,,33,,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,16-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,21,,
DELHI CAPITALS,DECCAN CHARGERS,19-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat,Deccan Chargers,1,,16,,
KOLKATA KNIGHT RIDERS,KOCHI TUSKERS KERALA,20-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kochi Tuskers Kerala,0,,6,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,21-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,bowl,Kings XI Punjab,0,,48,,
MUMBAI INDIANS,CHENNAI SUPER KINGS,22-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Mumbai Indians,0,,8,,
DELHI CAPITALS,KINGS XI PUNJAB,23-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bowl,Delhi Capitals,0,,29,,
DECCAN CHARGERS,MUMBAI INDIANS,24-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bowl,Mumbai Indians,0,,37,,
CHENNAI SUPER KINGS,PUNE WARRIORS,25-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Pune Warriors,bowl,Chennai Super Kings,0,,25,,
KOCHI TUSKERS KERALA,DECCAN CHARGERS,27-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Nehru Stadium, Kochi",Kochi Tuskers Kerala,bowl,Deccan Chargers,0,,55,,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,28-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Kolkata Knight Riders,0,,17,,
ROYAL CHALLENGERS BANGALORE,PUNE WARRIORS,29-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bowl,Royal Challengers Bangalore,0,,26,,
KOCHI TUSKERS KERALA,DELHI CAPITALS,30-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Nehru Stadium, Kochi",Delhi Capitals,bat,Delhi Capitals,1,,38,,
CHENNAI SUPER KINGS,DECCAN CHARGERS,1-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,19,,
MUMBAI INDIANS,KINGS XI PUNJAB,2-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kings XI Punjab,bowl,Mumbai Indians,0,,23,,
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,3-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bowl,Kolkata Knight Riders,0,,20,,
PUNE WARRIORS,MUMBAI INDIANS,4-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors,bowl,Mumbai Indians,0,,21,,
KOCHI TUSKERS KERALA,KOLKATA KNIGHT RIDERS,5-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Nehru Stadium, Kochi",Kolkata Knight Riders,bowl,Kochi Tuskers Kerala,0,,17,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,6-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Royal Challengers Bangalore,0,,85,,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,7-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings,bat,Kolkata Knight Riders,0,,10,,
MUMBAI INDIANS,DELHI CAPITALS,7-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Mumbai Indians,0,,32,,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,9-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Chennai Super Kings,0,,63,,
KINGS XI PUNJAB,MUMBAI INDIANS,10-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,bowl,Kings XI Punjab,0,,76,,
CHENNAI SUPER KINGS,DELHI CAPITALS,12-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,18,,
MUMBAI INDIANS,DECCAN CHARGERS,14-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Deccan Chargers,bat,Deccan Chargers,1,,10,,
KINGS XI PUNJAB,DELHI CAPITALS,15-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,bowl,Kings XI Punjab,0,,29,,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,17-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,bat,Kings XI Punjab,1,,111,,
CHENNAI SUPER KINGS,KOCHI TUSKERS KERALA,18-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,11,,
KINGS XI PUNJAB,DECCAN CHARGERS,21-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,bowl,Deccan Chargers,0,,82,,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,27-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bowl,Royal Challengers Bangalore,0,,43,,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,28-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,58,,
MUMBAI INDIANS,PUNE WARRIORS,6-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Pune Warriors,0,,28,,
RAJASTHAN ROYALS,KINGS XI PUNJAB,6-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,bowl,Rajasthan Royals,0,,31,,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,7-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bowl,Royal Challengers Bangalore,0,,20,,
DECCAN CHARGERS,CHENNAI SUPER KINGS,7-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Deccan Chargers,bowl,Chennai Super Kings,0,,74,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,8-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bowl,Rajasthan Royals,0,,22,,
PUNE WARRIORS,KINGS XI PUNJAB,8-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Pune Warriors,1,,22,,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,10-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Kolkata Knight Riders,0,,42,,
MUMBAI INDIANS,RAJASTHAN ROYALS,11-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals,bowl,Mumbai Indians,0,,27,,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,15-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kings XI Punjab,0,,2,,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,15-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat,Rajasthan Royals,1,,59,,
CHENNAI SUPER KINGS,PUNE WARRIORS,19-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Pune Warriors,bowl,Chennai Super Kings,0,,13,,
DELHI CAPITALS,PUNE WARRIORS,21-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Pune Warriors,0,,20,,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,23-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Royal Challengers Bangalore,0,,46,,
PUNE WARRIORS,DECCAN CHARGERS,26-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Deccan Chargers,bat,Deccan Chargers,1,,18,,
DELHI CAPITALS,MUMBAI INDIANS,27-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Mumbai Indians,bowl,Delhi Capitals,0,,37,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,28-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kings XI Punjab,bat,Kings XI Punjab,1,,7,,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,28-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,47,,
DELHI CAPITALS,RAJASTHAN ROYALS,29-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,,,
DECCAN CHARGERS,PUNE WARRIORS,1-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Deccan Chargers,bat,Deccan Chargers,1,,13,,
PUNE WARRIORS,MUMBAI INDIANS,3-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,bat,Mumbai Indians,1,,1,,
CHENNAI SUPER KINGS,DECCAN CHARGERS,4-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,10,,
KOLKATA KNIGHT RIDERS,PUNE WARRIORS,5-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,7,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,5-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,bat,Rajasthan Royals,1,,43,,
DECCAN CHARGERS,KINGS XI PUNJAB,8-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bowl,Kings XI Punjab,0,,25,,
PUNE WARRIORS,ROYAL CHALLENGERS BANGALORE,11-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bowl,Royal Challengers Bangalore,0,,35,,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,12-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians,bat,Mumbai Indians,1,,27,,
RAJASTHAN ROYALS,PUNE WARRIORS,13-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,1,,45,,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,16-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Kolkata Knight Riders,0,,32,,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,17-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Royal Challengers Bangalore,0,,21,,
PUNE WARRIORS,KOLKATA KNIGHT RIDERS,19-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,34,,
DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,20-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bowl,Deccan Chargers,0,,9,,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,22-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,18,,
MUMBAI INDIANS,CHENNAI SUPER KINGS,23-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Chennai Super Kings,0,,38,,
CHENNAI SUPER KINGS,DELHI CAPITALS,25-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Delhi Capitals,bowl,Chennai Super Kings,0,,86,,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,4-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Royal Challengers Bangalore,0,,2,,
SUNRISERS HYDERABAD,PUNE WARRIORS,5-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Pune Warriors,bowl,Sunrisers Hyderabad,0,,22,,
DELHI CAPITALS,RAJASTHAN ROYALS,6-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat,Rajasthan Royals,1,,5,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,6-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bat,Mumbai Indians,1,,9,,
SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,7-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,1,,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,8-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bowl,Rajasthan Royals,0,,19,,
MUMBAI INDIANS,DELHI CAPITALS,9-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,44,,
MUMBAI INDIANS,PUNE WARRIORS,13-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,41,,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,14-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,48,,
CHENNAI SUPER KINGS,PUNE WARRIORS,15-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Pune Warriors,bat,Pune Warriors,1,,24,,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,16-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,bowl,Kings XI Punjab,0,,4,,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,16-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,1,,,
PUNE WARRIORS,SUNRISERS HYDERABAD,17-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bowl,Sunrisers Hyderabad,0,,11,,
RAJASTHAN ROYALS,MUMBAI INDIANS,17-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,1,,87,,
DELHI CAPITALS,CHENNAI SUPER KINGS,18-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bat,Chennai Super Kings,1,,86,,
ROYAL CHALLENGERS BANGALORE,PUNE WARRIORS,23-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bowl,Royal Challengers Bangalore,0,,130,,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,27-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,58,,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,28-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,bowl,Chennai Super Kings,0,,14,,
DELHI CAPITALS,PUNE WARRIORS,28-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,bowl,Delhi Capitals,0,,15,,
MUMBAI INDIANS,KINGS XI PUNJAB,29-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,4,,
PUNE WARRIORS,CHENNAI SUPER KINGS,30-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat,Chennai Super Kings,1,,37,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,2-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,15,,
PUNE WARRIORS,ROYAL CHALLENGERS BANGALORE,2-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,17,,
MUMBAI INDIANS,CHENNAI SUPER KINGS,5-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,60,,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,7-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,65,,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,8-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Chennai Super Kings,0,,77,,
PUNE WARRIORS,KOLKATA KNIGHT RIDERS,9-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,46,,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,10-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Royal Challengers Bangalore,0,,4,,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,11-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Sunrisers Hyderabad,0,,30,,
CHENNAI SUPER KINGS,DELHI CAPITALS,14-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,33,,
KOLKATA KNIGHT RIDERS,PUNE WARRIORS,15-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Kolkata Knight Riders,bowl,Pune Warriors,0,,7,,
MUMBAI INDIANS,RAJASTHAN ROYALS,15-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals,bowl,Mumbai Indians,0,,14,,
KINGS XI PUNJAB,DELHI CAPITALS,16-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,bowl,Kings XI Punjab,0,,7,,
SUNRISERS HYDERABAD,RAJASTHAN ROYALS,17-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,23,,
KINGS XI PUNJAB,MUMBAI INDIANS,18-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Mumbai Indians,bowl,Kings XI Punjab,0,,50,,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,18-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bowl,Royal Challengers Bangalore,0,,24,,
